Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
large-plus-design-deposit,Large Plus Tattoo Design Deposit,"<p> We appreciate your time and business.  Once you complete your deposit you will be contacted by our design team.  During our busy times it may take 1-3 business days to start your design. If you have any questions or concerns please feel free to contact our customer service manager Katie.</p>
<p>Katie@customtattoodesign.ca </p>
<p>Thank you for your time, </p>
<p>Custom Tattoo Design </p>",Custom Tattoo Shop,Deposit,"",true,Color,no,Incorporation or Cover up,no,,,20,0,,-3,deny,manual,120.00,,false,true,"",https://cdn.shopify.com/s/files/1/1046/1276/products/07_Ready_Large_Plus_Design_Deposit.jpg?v=1450390777,,false,,,,,,,,,,,,,,,,,kg
large-plus-design-deposit,,,,,,,,no,,yes,,,21,0,,0,deny,manual,132.50,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
large-plus-design-deposit,,,,,,,,yes,,no,,,22,0,,-1,deny,manual,170.00,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
large-plus-design-deposit,,,,,,,,yes,,yes,,,23,0,,1,deny,manual,182.50,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
xl-plus-tattoo-design-deposit,XL Plus Tattoo Design Deposit,"<p>     Thank you for your business.  Custom Tattoo Design takes our extra large design deposits very seriously.  Our artist are tiered from 1-5 stars based on experience and performance; only our Sr. Design team work on these products so we can ensure top quality.  XL designs can take over 75+ hours to complete and may take 4-7 days to start your design depending on Sr artists availability. </p>
<p>Thank you for your time and trust, we look forward to working with you soon. </p>
<p>If you have any questions or concerns please contact our customer service manager Kaite @ </p>
<p>Katie@customtattoodesign.ca </p>
<p>Custom Tattoo Design </p>",Custom Tattoo Shop,Deposit,"",true,Color,no,Tattoo Cover Up or Integration,no,,,"",0,,0,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/1046/1276/products/06_Ready_XL_Tattoo_Design_Deposit.jpg?v=1451730687,,false,,,,,,,,,,,,,,,,,kg
xl-plus-tattoo-design-deposit,,,,,,,,no,,yes,,,"",0,,1,deny,manual,262.50,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
xl-plus-tattoo-design-deposit,,,,,,,,yes,,no,,,"",0,,1,deny,manual,325.00,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
xl-plus-tattoo-design-deposit,,,,,,,,yes,,yes,,,"",0,,1,deny,manual,337.50,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
xl-custom-tattoo-design-final-payment,XL Custom Tattoo Design Final Payment,"<p>Thank you for your business, once you make your final payment we will get all your final documents ready. In order to get you the highest quality this process may take up to 24 hours.  If you do not receive your documents within 48 hours please let us know. </p>
<p>If you have any questions or concerns please contact our customer service manager Katie @</p>
<p>Katie@customtattoodesign.ca </p>
<p>Thank you for your time and business</p>
<p>Custom Tattoo Design Team </p>",Custom Tattoo Design,Final Payment,"",true,Color,no,Tattoo Integration or Cover Up,no,,,"",0,,-1,deny,manual,200.00,,false,true,"",https://cdn.shopify.com/s/files/1/1046/1276/products/06_Ready_XL_Tattoo_FinalPayment.jpg?v=1451730803,,false,,The worlds best Custom Tattoo Design studio. Come see why everyone is getting there Custom Tattoo Designs done here. ,,,,,,,,,,,,,,,kg
xl-custom-tattoo-design-final-payment,,,,,,,,no,,yes,,,"",0,,1,deny,manual,212.50,,false,true,"",,,,,,,,,,,,,,,,,,,,kg
